id,label,type,source,target,weight,icon,color,size
N121,JUTBQ350,node,,,,icon10.png,#1af4e8,16
N122,NQUJS325,node,,,,,#749668,15
N123,HLWIT550,node,,,,icon3.png,#78c49c,13
N124,QWUZD340,node,,,,,#0c2a89,7
N125,PXZNR453,node,,,,icon5.png,#448e34,17
N126,NLYNI713,node,,,,icon7.png,#263196,19
N127,QZUIM386,node,,,,,#771f00,19
N128,WAXNL375,node,,,,,#38e9e0,19
N129,QHUCU139,node,,,,icon6.png,#b4ef79,5
N130,TNZLC514,node,,,,icon3.png,#4edb5b,9
N131,BEJVI691,node,,,,,#e73eeb,15
N132,QOTAX666,node,,,,,#40a7f8,6
N133,XHGKA428,node,,,,icon4.png,#654436,8
N134,FTPPN749,node,,,,,#d6acc8,5
N135,NFYKY732,node,,,,,#57186c,19
N136,UCFJR292,node,,,,icon3.png,#7c88cd,20
N137,QQDEU601,node,,,,icon10.png,#78677c,14
N138,UVCMB717,node,,,,,#97fe64,12
N139,TFCJK606,node,,,,icon7.png,#dbd782,15
N140,YWSGY761,node,,,,icon1.png,#505863,11
N141,RKEQO107,node,,,,icon8.png,#e149e5,8
N142,CXCCH992,node,,,,,#33f40e,10
N143,NWWBX762,node,,,,,#6871fa,8
N144,NCIHE635,node,,,,,#54ad6f,12
N145,MLYBO824,node,,,,,#6b3792,14
N146,TEOFK162,node,,,,icon8.png,#aa3d79,19
N147,ZHCYQ448,node,,,,,#8ae43d,5
N148,GVPLZ928,node,,,,icon1.png,#0a17cf,12
N149,EFWEP723,node,,,,,#08e39e,7
N150,ZDYDA121,node,,,,icon5.png,#5075e6,18
N151,ISVEQ167,node,,,,icon9.png,#d4fec8,7
N152,HXGZS411,node,,,,,#40d65c,9
N153,RPPJW995,node,,,,,#b0338c,17
N154,VEWDG365,node,,,,,#de5d79,6
N155,NMAEI796,node,,,,icon8.png,#9f824c,12
N156,UOXHB538,node,,,,,#dc8d2f,20
N157,ICBVD869,node,,,,,#a874d5,16
N158,YHSBZ910,node,,,,icon5.png,#0168fb,16
N159,IQDGE425,node,,,,icon2.png,#e5a3f6,14
N160,DAPCM427,node,,,,icon10.png,#458de4,11
N161,LNXKK989,node,,,,icon4.png,#a7d622,14
N162,PWNYK501,node,,,,,#8f6652,8
N163,MDNDL279,node,,,,,#6d6743,8
N164,RBESA631,node,,,,,#a0835d,16
N165,BOMYM234,node,,,,,#bc6cd1,17
N166,CCQSQ716,node,,,,,#f2d395,18
N167,BSWZI855,node,,,,,#58b4db,14
N168,QRCWW833,node,,,,icon3.png,#98f759,20
N169,MNCHK862,node,,,,,#d20569,6
N170,OUZND205,node,,,,icon3.png,#32e47b,10
N171,FMPXQ728,node,,,,,#70728c,11
N172,VCOBY352,node,,,,icon5.png,#a18fb4,12
N173,RCEUP471,node,,,,,#1b00b3,14
N174,YRYCG196,node,,,,icon4.png,#47a399,7
N175,CPGVC653,node,,,,icon6.png,#2a482a,5
N176,SRTAE910,node,,,,,#8d7c17,11
N177,YRGKL283,node,,,,icon10.png,#06215a,5
N178,LZUEN184,node,,,,,#8372a5,20
N179,MVYPK582,node,,,,icon10.png,#9b081c,8
N180,CZPQS660,node,,,,,#8a45c0,15
N181,FHRJK415,node,,,,icon2.png,#aba52b,7
N182,EDEEE351,node,,,,icon3.png,#7571ab,18
N183,DWBJV842,node,,,,icon1.png,#da2d5e,11
N184,AEJCO489,node,,,,,#5320e6,16
N185,CDLUH427,node,,,,,#e9f77f,14
N186,NCOUJ978,node,,,,,#7747a7,18
N187,QLXDK692,node,,,,icon10.png,#7201cc,15
N188,BQPRZ552,node,,,,,#80b2de,16
N189,SSLCS553,node,,,,icon3.png,#8f611e,19
N190,GSSGX603,node,,,,icon7.png,#b12957,16
N191,STGBH688,node,,,,icon4.png,#24b9de,15
N192,MAJCW288,node,,,,icon4.png,#788a8a,20
N193,FGXXL774,node,,,,,#94b578,16
N194,AAULS611,node,,,,icon9.png,#067051,19
N195,KVOIZ361,node,,,,icon7.png,#1b389a,15
N196,ZEJVE690,node,,,,icon3.png,#e6b480,5
N197,RHODA666,node,,,,,#998ff2,18
N198,CHAKN233,node,,,,icon1.png,#571b86,10
N199,LUKJJ548,node,,,,icon6.png,#f23957,13
N200,JHKGL271,node,,,,icon10.png,#792027,13
N201,NOEJY365,node,,,,,#c6fa84,8
N202,ZAMUP991,node,,,,,#1b09c5,15
N203,LJFVR339,node,,,,,#8dc628,15
N204,BEDBH625,node,,,,icon10.png,#0390dd,8
N205,BAEHK734,node,,,,,#ed8121,20
N206,NXLDI411,node,,,,,#134871,8
N207,MUERZ230,node,,,,icon6.png,#355e4c,7
N208,LEDKV619,node,,,,icon4.png,#6ffdc0,20
N209,RZSWX325,node,,,,icon5.png,#ea75b1,11
N210,VFIOS338,node,,,,icon3.png,#0ba36e,10
N211,HVTVN644,node,,,,,#60bc85,15
N212,TRUOV992,node,,,,icon10.png,#5e7db6,12
N213,YIHOA404,node,,,,icon8.png,#71c810,14
N214,LHVEN437,node,,,,,#ce90c2,9
N215,KEESP186,node,,,,icon1.png,#3be36c,7
N216,ZBVLT713,node,,,,icon1.png,#5ac7ba,9
N217,HWKBB530,node,,,,icon10.png,#b9d0dd,8
N218,RLGPR819,node,,,,,#e7ab98,6
N219,QTGPN600,node,,,,,#89b813,12
N220,ZOQWU917,node,,,,icon8.png,#520e17,19
N221,OLWOR694,node,,,,icon1.png,#dbd6fc,12
N222,IARLO961,node,,,,icon7.png,#e89c3d,9
N223,WVESC560,node,,,,icon10.png,#fe3568,10
N224,KHLOR243,node,,,,icon9.png,#da2779,17
N225,WOAIH648,node,,,,icon2.png,#6d45dd,14
N226,KIJSI248,node,,,,,#ab5d4d,8
N227,AOYBT763,node,,,,icon3.png,#386e5e,15
N228,HXOHW983,node,,,,icon6.png,#32fe89,16
N229,PHDPA121,node,,,,icon4.png,#308e0f,9
N230,MUJBW953,node,,,,,#02e0ca,9
N231,PUSTP591,node,,,,,#fd231a,8
N232,WAKHZ914,node,,,,,#0c9539,12
N233,BMCPL342,node,,,,,#552d26,19
N234,ELFXE322,node,,,,icon4.png,#da1079,15
N235,UIHGF359,node,,,,,#40aa03,20
N236,ILZRY864,node,,,,,#db8423,15
N237,FEZAB384,node,,,,,#297090,9
N238,DLBJT493,node,,,,,#a6d84b,17
N239,OTOEY102,node,,,,icon3.png,#9f1e8e,11
N240,AWUHE376,node,,,,,#f8dedb,6
N241,ZUFHX938,node,,,,icon10.png,#a91b3a,18
N242,NSGRB386,node,,,,icon6.png,#24297c,9
N243,XNHHW925,node,,,,icon6.png,#6cc72a,15
N244,HXSBI323,node,,,,icon1.png,#9ff19f,15
N245,QVMJP948,node,,,,icon2.png,#008d92,7
N246,COAAB164,node,,,,icon10.png,#5fc832,20
N247,EFCMM753,node,,,,icon2.png,#119971,7
N248,PMFQR212,node,,,,icon5.png,#e6c63b,6
N249,BDCWD652,node,,,,icon7.png,#72931e,12
N250,OVPHT169,node,,,,icon4.png,#b662de,18
N251,EOQHI476,node,,,,icon9.png,#4f8093,10
N252,ELLXU406,node,,,,,#7c51e4,6
N253,GIIGO162,node,,,,,#666aa7,10
N254,WXFYW998,node,,,,icon4.png,#b32820,9
N255,QYUIS942,node,,,,,#fdde53,15
N256,SCMIE278,node,,,,,#621500,7
N257,IFMXA745,node,,,,icon2.png,#00138a,17
N258,GBQMK981,node,,,,icon9.png,#8a7127,12
N259,ZIPLS622,node,,,,icon10.png,#e75fcc,12
N260,OMOXY143,node,,,,icon5.png,#fbd2a5,6
N261,MRDXJ305,node,,,,icon4.png,#6557e8,19
N262,WJQPY830,node,,,,icon2.png,#a14f1b,15
N263,ABOXF508,node,,,,,#24c04c,16
N264,SONFH942,node,,,,,#727e12,9
N265,GUNYQ434,node,,,,icon6.png,#cadb1c,18
N266,OGIMU963,node,,,,icon3.png,#834dcb,9
N267,MXFJQ917,node,,,,,#8a2738,18
N268,XFFTS410,node,,,,icon5.png,#eaf8b1,6
N269,LFSLB511,node,,,,,#b05c50,10
N270,ZUXQI537,node,,,,icon2.png,#a9d92d,19
N271,HKOFG411,node,,,,icon5.png,#324497,9
N272,JCEOQ511,node,,,,,#7ed0da,15
N273,GTRAQ862,node,,,,icon8.png,#fdb311,17
N274,SMPMR595,node,,,,icon7.png,#8d05fc,14
N275,DDCQJ314,node,,,,,#bba993,11
N276,JLSIC316,node,,,,,#ed1c49,10
N277,VCHCN354,node,,,,icon5.png,#be372b,12
N278,XLCGT341,node,,,,icon10.png,#f402f0,18
N279,AKJZT162,node,,,,icon5.png,#7a6e0b,15
N280,DIZCA922,node,,,,icon1.png,#c582ec,10
N281,IUTHL127,node,,,,,#a5ab2c,14
N282,LQRBK884,node,,,,icon2.png,#16a47f,10
N283,MKRWD568,node,,,,icon1.png,#2d767f,6
N284,LYKMC982,node,,,,,#a9cb5f,13
N285,KLNCQ583,node,,,,icon4.png,#e2be58,5
N286,RWMWU666,node,,,,icon10.png,#498e16,18
N287,RGYKQ830,node,,,,,#2be4ae,14
N288,SOAFA470,node,,,,,#e0725b,18
N289,BASLH440,node,,,,,#b91dd6,11
N290,ODBRR179,node,,,,icon7.png,#3bb199,10
N291,UAKIW884,node,,,,,#64a7c2,17
N292,FCDPM950,node,,,,icon1.png,#9c00e4,20
N293,WMTCB512,node,,,,,#e396c4,19
N294,PSUXJ284,node,,,,,#d4fc80,9
N295,WCTXI653,node,,,,,#a08c2c,5
N296,SKITD674,node,,,,icon6.png,#5df509,6
N297,LWCGQ534,node,,,,icon9.png,#1187dd,10
N298,VVKQD537,node,,,,,#91e46b,11
N299,TMZPP489,node,,,,,#a95a52,5
N300,MGXWL498,node,,,,icon10.png,#4134b8,20
N301,IASCU622,node,,,,icon8.png,#57c3f1,11
N302,VETQO976,node,,,,,#3f65d1,14
N303,KIYUK814,node,,,,icon9.png,#9bc4cb,20
N304,JGILY572,node,,,,icon4.png,#47034a,8
N305,UNRAP703,node,,,,icon6.png,#74654e,18
N306,YPHKQ719,node,,,,icon2.png,#1eb10c,12
N307,UDQDX361,node,,,,icon2.png,#4d03db,11
N308,PKWXQ158,node,,,,icon2.png,#5590d8,8
N309,LMJWU565,node,,,,,#e04b83,5
N310,DEFZW232,node,,,,,#71039a,19
N311,RSEDB200,node,,,,,#f7bab8,18
N312,XSRCX974,node,,,,icon2.png,#b86199,12
N313,CLBJW559,node,,,,,#171d45,8
N314,HEOPO857,node,,,,icon5.png,#57d890,18
N315,RHYOJ448,node,,,,,#01e190,10
N316,GUUZC685,node,,,,icon4.png,#2f3d29,12
N317,VQGAI512,node,,,,icon7.png,#e700e4,8
N318,KSPWA226,node,,,,,#d2f751,12
N319,GYFVS178,node,,,,icon4.png,#932644,8
N320,BKNEI309,node,,,,icon10.png,#426e8d,6
N321,NZTQB548,node,,,,icon9.png,#ea32f9,18
N322,NQSJP326,node,,,,,#abe559,12
N323,UYBEK987,node,,,,,#5e4f82,18
N324,QUCHA210,node,,,,icon2.png,#1408e8,17
N325,DCQVL704,node,,,,icon1.png,#4b9f21,9
N326,NLGIN168,node,,,,,#8ae3e1,5
N327,QTDCH752,node,,,,icon3.png,#4b2da4,6
N328,NEPKA303,node,,,,,#b52930,18
N329,UCBOQ470,node,,,,icon6.png,#e5e234,17
N330,CDTCO313,node,,,,icon10.png,#b2190d,11
N331,FYYLI617,node,,,,icon7.png,#f03a06,13
N332,PHCQP996,node,,,,,#c94455,20
N333,MTJKW671,node,,,,icon6.png,#66b45f,18
N334,KIZAL825,node,,,,icon8.png,#c0e4cc,6
N335,XSXFR999,node,,,,icon4.png,#b8ca80,12
N336,KFBHQ709,node,,,,icon5.png,#3ba89e,7
N337,AGZWX547,node,,,,,#2a21ea,11
N338,VLEJK135,node,,,,,#61f2ba,19
N339,VKLYL992,node,,,,,#d1af08,12
N340,QVUTR833,node,,,,,#e54dd5,20
N341,CVPVZ524,node,,,,,#8d78c0,7
N342,UUUMR164,node,,,,icon3.png,#a771f4,14
N343,JPOJA471,node,,,,,#4fe853,9
N344,BSYFM486,node,,,,,#5e3803,14
N345,QDHXT651,node,,,,icon7.png,#58f48b,18
N346,ZLKVJ562,node,,,,icon8.png,#52d005,5
N347,RSVOL645,node,,,,icon2.png,#380c28,6
N348,QYANP188,node,,,,icon5.png,#f0fe84,7
N349,OFJCJ437,node,,,,icon9.png,#ab8109,20
N350,ZFBAY111,node,,,,,#c0b9f1,13
N351,PRWVE223,node,,,,,#216f04,19
N352,UOBWG912,node,,,,icon4.png,#dee0de,18
N353,LQSOM549,node,,,,icon5.png,#50eac8,13
N354,IFEAM313,node,,,,icon4.png,#28a887,7
N355,OBHEA650,node,,,,,#c522e9,18
N356,GWYZK889,node,,,,icon5.png,#e2d47c,12
N357,WBFBF434,node,,,,,#2ef6bf,13
N358,RMSUV654,node,,,,,#20d5e5,19
N359,RMMAS950,node,,,,,#c1132a,17
N360,MSMKR316,node,,,,,#dd20d9,17
N361,KHKFH215,node,,,,,#b1b54a,9
N362,LMGFF313,node,,,,,#1c0866,15
N363,JFKRS691,node,,,,icon8.png,#1ace23,10
N364,UAQFO270,node,,,,icon2.png,#7d89b9,9
N365,OZJJQ295,node,,,,,#b44300,16
N366,FDTIC221,node,,,,,#ad86ed,16
N367,WBCMJ672,node,,,,,#af1325,5
N368,USHAB223,node,,,,icon6.png,#352344,6
N369,QRWVH324,node,,,,icon5.png,#a05c26,6
N370,BSJEI685,node,,,,icon10.png,#6543af,7
N371,QIFKJ864,node,,,,icon3.png,#b26646,5
N372,LWPKU951,node,,,,icon4.png,#9d9cb2,18
N373,ISZKR596,node,,,,icon6.png,#5b1c4a,15
N374,WHEII485,node,,,,icon1.png,#1a56d2,16
N375,CXZUB140,node,,,,,#92fd37,6
N376,TJNAC364,node,,,,icon1.png,#c26aca,16
N377,TLNOV318,node,,,,icon7.png,#638f10,18
N378,RKBNY669,node,,,,icon9.png,#c6b4c9,15
N379,AGHUV289,node,,,,,#e5d085,8
N380,DQNZB514,node,,,,,#46cdbd,6
N381,CLTDT437,node,,,,icon2.png,#33e4b5,7
N382,LGVER585,node,,,,,#9c345f,16
N383,SBSCB490,node,,,,,#64d38e,9
N384,OHIXI532,node,,,,,#8f1489,15
N385,BVKLN948,node,,,,,#9a6cc9,10
N386,HXKKK943,node,,,,,#0e3aea,7
N387,BPOIH116,node,,,,icon8.png,#87afde,19
N388,GAIPF493,node,,,,,#1931ad,17
N389,OUVUE797,node,,,,icon4.png,#c9653f,13
N390,PRIND936,node,,,,,#f22c1a,6
N391,JEKCN244,node,,,,,#7962e6,9
N392,MAWRW477,node,,,,,#198864,7
N393,KFPDB760,node,,,,,#23164f,20
N394,OUMDB429,node,,,,,#de7ec6,9
N395,NYYNW720,node,,,,icon10.png,#4f9c6a,17
N396,NQXFM965,node,,,,,#0954ad,19
N397,WVHID427,node,,,,icon6.png,#97e68f,17
N398,IWJVN143,node,,,,icon8.png,#3d9600,5
N399,IVVJH101,node,,,,icon3.png,#abfdb6,15
N400,FKTOB340,node,,,,icon2.png,#9d63ba,19
N401,HBYAS277,node,,,,icon10.png,#e8a383,11
N402,BZSBC107,node,,,,icon7.png,#12eea9,11
N403,YNTDD722,node,,,,icon6.png,#33434a,9
N404,IKIQR158,node,,,,icon5.png,#63722f,18
N405,XHJUQ839,node,,,,icon3.png,#47d8c2,15
N406,ZMVLQ406,node,,,,icon3.png,#d4f160,8
N407,VYGEO115,node,,,,,#e072d3,9
N408,FFGQU723,node,,,,,#556224,12
N409,JSQIN476,node,,,,icon4.png,#a4319b,20
N410,GMFAL841,node,,,,icon7.png,#95a104,11
N411,SPZVS562,node,,,,,#11f4e3,19
N412,KCVMM358,node,,,,,#8731f9,6
N413,XJQND918,node,,,,icon4.png,#d60d78,19
N414,PUWKI206,node,,,,icon1.png,#5791ba,17
N415,XOCMO834,node,,,,,#6a03a5,5
N416,SMQAB647,node,,,,icon5.png,#0dce09,18
N417,NYZOP821,node,,,,icon6.png,#0bf8b4,11
N418,IHQPQ626,node,,,,,#011f24,16
N419,DQGPB817,node,,,,icon1.png,#6d8d74,9
N420,WPAMN526,node,,,,icon3.png,#c6a966,12
N421,VMDIX673,node,,,,,#9c6e8d,6
N422,NKZUU259,node,,,,,#418f2c,7
N423,PIDLM395,node,,,,icon1.png,#a7c78c,17
N424,CSOXF199,node,,,,,#5eb5c4,16
N425,FRLNC455,node,,,,icon7.png,#6866ad,10
N426,UWROD762,node,,,,icon2.png,#c5bb3b,11
N427,PYQMF605,node,,,,icon9.png,#c9b640,18
N428,FIXDW312,node,,,,,#9b4a92,6
N429,AGXCD616,node,,,,icon4.png,#307e4e,16
N430,LSGVC951,node,,,,icon10.png,#a049a4,7
N431,DNZIG722,node,,,,icon3.png,#02ae8d,16
N432,JSIVE389,node,,,,,#0a1de7,18
N433,AOBVW699,node,,,,,#4aefb6,13
N434,RGDIK928,node,,,,icon10.png,#f0d64d,9
N435,BAGME885,node,,,,,#9816f8,13
N436,WLVXU416,node,,,,icon1.png,#3e0844,14
N437,TPDGP728,node,,,,,#0bf218,8
N438,THRDF109,node,,,,,#f1487a,12
N439,XCAQR466,node,,,,icon8.png,#db2856,20
N440,FMGFF432,node,,,,icon10.png,#2cee54,13
N441,VUZCG603,node,,,,icon1.png,#c82c7a,20
N442,DCLNP154,node,,,,icon7.png,#70f0be,12
N443,INSWE909,node,,,,icon9.png,#4b1d7b,6
N444,AVKWL156,node,,,,icon5.png,#701158,9
N445,WXCMW408,node,,,,icon8.png,#5e585c,12
N446,ROCOY332,node,,,,icon3.png,#742e4b,18
N447,QIKRE167,node,,,,icon2.png,#af005e,16
N448,KMBUG110,node,,,,,#6365d6,17
N449,MSWYY908,node,,,,icon9.png,#55e0ae,16
N450,QBLIW320,node,,,,,#683a89,20
N451,EQEIP150,node,,,,,#27bb4c,18
N452,TJOXW416,node,,,,,#5e4835,7
N453,XHOGC656,node,,,,icon6.png,#37c401,15
N454,CEJQW516,node,,,,icon8.png,#da6157,16
N455,LGRXH322,node,,,,,#77151e,14
N456,CYGGN924,node,,,,,#b458c0,15
N457,MDMEY517,node,,,,,#239a70,18
N458,MRIQX800,node,,,,icon1.png,#a3a235,19
N459,IMRPA424,node,,,,icon3.png,#be7763,11
N460,IBRVD378,node,,,,icon3.png,#0a869e,16
N461,SQWOF475,node,,,,icon10.png,#1e8cf4,11
N462,YEUJC763,node,,,,icon2.png,#1bd37c,11
N463,HHBVE243,node,,,,,#d20579,7
N464,JRWGI978,node,,,,icon7.png,#3b66c6,13
N465,NZTJZ761,node,,,,,#244ac5,13
N466,QRRBP537,node,,,,icon9.png,#e4720c,16
N467,HPCOD757,node,,,,icon8.png,#21b84b,12
N468,GWAQR320,node,,,,icon6.png,#d4cadb,15
N469,PWHKN245,node,,,,,#b9f3de,19
N470,MQULF681,node,,,,icon7.png,#586e51,9
N471,MRZMI668,node,,,,icon4.png,#802936,17
N472,SMFQV817,node,,,,,#d178a9,10
N473,BNGSY411,node,,,,icon8.png,#88a432,5
N474,KBMVU383,node,,,,,#c261ef,14
N475,TXVZD755,node,,,,icon3.png,#754ee7,13
N476,PIIFE348,node,,,,,#81cebb,12
N477,SSYAV483,node,,,,icon8.png,#db90aa,18
N478,ZKKFH702,node,,,,,#a5333a,5
N479,WAMSL384,node,,,,,#96a172,6
N480,KMOON805,node,,,,icon8.png,#a27df3,18
N481,LKDCX873,node,,,,icon9.png,#037ef9,7
N482,WZXOK476,node,,,,icon9.png,#30c47a,14
N483,ZTDKY951,node,,,,,#6eb50e,18
N484,TYVBP985,node,,,,,#29e0a8,20
N485,KKPOP470,node,,,,icon2.png,#3bf7a6,15
N486,NDPPR387,node,,,,icon9.png,#29632b,20
N487,XPRIH561,node,,,,icon9.png,#d4a3cd,15
N488,JFZDK625,node,,,,,#4507f3,9
N489,NIQUF556,node,,,,icon3.png,#a9e7eb,19
N490,YQCDI305,node,,,,icon8.png,#f08f26,15
N491,RIVBX903,node,,,,icon3.png,#bc140d,10
N492,FQGLH923,node,,,,icon2.png,#8b4c17,7
N493,ODRFM984,node,,,,,#f66482,16
N494,YPYFJ237,node,,,,icon2.png,#b33fbd,14
N495,HDJXM929,node,,,,,#c48e1c,17
N496,EAJOP911,node,,,,icon1.png,#829454,11
N497,VGRIR606,node,,,,,#15fae4,14
N498,XLYVH595,node,,,,icon10.png,#a37180,10
N499,NUKMB141,node,,,,icon6.png,#59784b,18
N500,OOTVJ918,node,,,,icon3.png,#03c279,5
N501,ZXRHM721,node,,,,icon3.png,#399af7,20
N502,PGVWM292,node,,,,icon3.png,#ae67cc,6
N503,ZEJEA370,node,,,,icon9.png,#ca7473,20
N504,EMYOR312,node,,,,icon3.png,#8f6c07,20
N505,QCXAV312,node,,,,,#7e4112,6
N506,PEHGM361,node,,,,icon3.png,#31fc0d,12
N507,KLCJL863,node,,,,icon9.png,#d0068b,15
N508,IRUWC606,node,,,,icon6.png,#3061c7,10
N509,AYTXH279,node,,,,icon2.png,#1cb982,13
N510,XIQEO647,node,,,,icon6.png,#fec639,7
N511,PXQVV516,node,,,,,#055014,19
N512,UQSJF146,node,,,,,#7eeb65,17
